name,party,district_info,chamber,source,official_profile_url,last_updated
Joseph Bernos,,Abra at-large,house,wikipedia,NA,2026-08-25
Dale Corvera,,Agusan del Norte at-large,house,wikipedia,NA,2026-08-25
Alfel Bascug,,Agusan del Sur–1st,house,wikipedia,NA,2026-08-25
Eddiebong Plaza,,Agusan del Sur–2nd,house,wikipedia,NA,2026-08-25
Jess Marquez,,Aklan–1st,house,wikipedia,NA,2026-08-25
Florencio Miraflores,,Aklan–2nd,house,wikipedia,NA,2026-08-25
Krisel Lagman,,Albay–1st,house,wikipedia,NA,2026-08-25
Caloy Loria,,Albay–2nd,house,wikipedia,NA,2026-08-25
Adrian Salceda,,Albay–3rd,house,wikipedia,NA,2026-08-25
Ronaldo Puno,,Antipolo–1st,house,wikipedia,NA,2026-08-25
Bong Acop,,Antipolo–2nd,house,wikipedia,NA,2026-08-25
Antonio Legarda Jr.,,Antique at-large,house,wikipedia,NA,2026-08-25
Eleanor Begtang,,Apayao at-large,house,wikipedia,NA,2026-08-25
Rommel T. Angara,,Aurora at-large,house,wikipedia,NA,2026-08-25
Albee Benitez,,Bacolod at-large,house,wikipedia,NA,2026-08-25
Mauricio Domogan,,Baguio at-large,house,wikipedia,NA,2026-08-25
Yusop Alano,,Basilan at-large,house,wikipedia,NA,2026-08-25
Antonino Roman III,,Bataan–1st,house,wikipedia,NA,2026-08-25
Albert Garcia,,Bataan–2nd,house,wikipedia,NA,2026-08-25
Maria Angela Garcia,,Bataan–3rd,house,wikipedia,NA,2026-08-25
Jun Gato,,Batanes at-large,house,wikipedia,NA,2026-08-25
Leandro Leviste,,Batangas–1st,house,wikipedia,NA,2026-08-25
Gerville Luistro,,Batangas–2nd,house,wikipedia,NA,2026-08-25
King Collantes,,Batangas–3rd,house,wikipedia,NA,2026-08-25
Caloy Bolilia,,Batangas–4th,house,wikipedia,NA,2026-08-25
Beverley Dimacuha,,Batangas–5th,house,wikipedia,NA,2026-08-25
Ryan Recto,,Batangas–6th,house,wikipedia,NA,2026-08-25
Eric Yap,,Benguet at-large,house,wikipedia,NA,2026-08-25
Gerardo Espina Jr.,,Biliran at-large,house,wikipedia,NA,2026-08-25
Arman Dimaguila,,Biñan at-large,house,wikipedia,NA,2026-08-25
John Geesnell Yap,,Bohol–1st,house,wikipedia,NA,2026-08-25
Vanvan Aumentado,,Bohol–2nd,house,wikipedia,NA,2026-08-25
Alexie Tutor,,Bohol–3rd,house,wikipedia,NA,2026-08-25
Jose Manuel Alba,,Bukidnon–1st,house,wikipedia,NA,2026-08-25
Jonathan Keith Flores,,Bukidnon–2nd,house,wikipedia,NA,2026-08-25
Audrey Zubiri,,Bukidnon–3rd,house,wikipedia,NA,2026-08-25
Laarni Roque,,Bukidnon–4th,house,wikipedia,NA,2026-08-25
Danny Domingo,,Bulacan–1st,house,wikipedia,NA,2026-08-25
Tina Pancho,,Bulacan–2nd,house,wikipedia,NA,2026-08-25
Cholo Violago,,Bulacan–3rd,house,wikipedia,NA,2026-08-25
Linabelle Villarica,,Bulacan–4th,house,wikipedia,NA,2026-08-25
Agay Cruz,,Bulacan–5th,house,wikipedia,NA,2026-08-25
Salvador Pleyto,,Bulacan–6th,house,wikipedia,NA,2026-08-25
Jose Aquino II,,Butuan at-large,house,wikipedia,NA,2026-08-25
Ramon Nolasco,,Cagayan–1st,house,wikipedia,NA,2026-08-25
Baby Alfonso,,Cagayan–2nd,house,wikipedia,NA,2026-08-25
Joseph Lara,,Cagayan–3rd,house,wikipedia,NA,2026-08-25
Lordan Suan,,Cagayan de Oro–1st,house,wikipedia,NA,2026-08-25
Rufus Rodriguez,,Cagayan de Oro–2nd,house,wikipedia,NA,2026-08-25
Cha Hernandez,,Calamba at-large,house,wikipedia,NA,2026-08-25
Oscar Malapitan,,Caloocan–1st,house,wikipedia,NA,2026-08-25
Edgar Erice,,Caloocan–2nd,house,wikipedia,NA,2026-08-25
Dean Asistio,,Caloocan–3rd,house,wikipedia,NA,2026-08-25
Josefina Tallado,,Camarines Norte–1st,house,wikipedia,NA,2026-08-25
Rosemarie Panotes,,Camarines Norte–2nd,house,wikipedia,NA,2026-08-25
Hori Horibata,,Camarines Sur–1st,house,wikipedia,NA,2026-08-25
Luigi Villafuerte,,Camarines Sur–2nd,house,wikipedia,NA,2026-08-25
Nelson Legacion,,Camarines Sur–3rd,house,wikipedia,NA,2026-08-25
Arnulf Bryan Fuentebella,,Camarines Sur–4th,house,wikipedia,NA,2026-08-25
Miguel Luis Villafuerte,,Camarines Sur–5th,house,wikipedia,NA,2026-08-25
Jurdin Jesus Romualdo,,Camiguin at-large,house,wikipedia,NA,2026-08-25
Howard Guintu,,Capiz–1st,house,wikipedia,NA,2026-08-25
Jane Castro,,Capiz–2nd,house,wikipedia,NA,2026-08-25
Eulogio Rodriguez,,Catanduanes at-large,house,wikipedia,NA,2026-08-25
Jolo Revilla,,Cavite–1st,house,wikipedia,NA,2026-08-25
